# code,name,lat,lon,apt,type,country code
ABCID, , 43.0392, -79.3286, CZYZ, Low Level, CA
ABCOT, , 45.0436, -73.6303, CZUL, Low Level, CA
ABD, , 30.387, 48.2176, OIAA, High and Low Level, IR
ABD01, , 57.1864, -2.1864, EGPD, Terminal, UK
ABD04, , 57.181, -2.1829, EGPD, Terminal, UK
ABD07, , 57.0932, -2.1206, EGPD, Terminal, UK
ABDAB, , 37.8892, 10.6286, LIRR, RNAV, IT
ABDAD, , 60.2017, 128.72, UEBB, High and Low Level, RS
ABDAG, , 69.4533, 125.9567, UEST, High and Low Level, RS
ABDAK, , 47.299, 35.2909, UKFV, RNAV, UP
ABDAM, , 51.5142, 78.2853, UASP, High and Low Level, KZ
ABDAN, , 38.595, 59.3667, UTAA, High and Low Level, TX
ABDEG, , 52.8933, 117.75, UEEE, High and Low Level, RS
ABDIR, , 58.6417, 119.305, UEMO, High and Low Level, RS
ABDOK, , 41.2917, 71.125, UTNN, High and Low Level, UZ
ABDOS, , 47.6658, 2.5297, LFBB, Low Level, FR
ABDUK, , 51.6428, -3.8003, EGTT, High Level, UK
ABDUL, , 30.4, 67.45, OPLR, High Level, PK
ABDUN, , 46.2269, 58.7211, UATT, High and Low Level, KZ
ABEAM, , 47.2933, 6.5217, LFEE, High Level, FR
ABEAR, , -26.4346, -49.6514, SBCW, High Level, BR
ABEDA, , 52.3278, 1.8711, EGTT, High and Low Level, UK
ABEDO, , 59.9683, 35.835, ULWW, High and Low Level, RS
ABEGI, , 51.7017, 102.2467, UIII, High and Low Level, RS
ABEGO, , 46.0952, 23.6432, LRBB, High and Low Level, RO
ABEKA, , 41.1181, 68.745, UAII, High and Low Level, KZ
ABEKO, , 39.575, 55.8983, UTAK, High and Low Level, TX
ABELA, , -30.8947, -52.3068, SBCW, RNAV, BR
ABELA, , 44.1917, 42.6017, URRV, High and Low Level, RS
ABELO, , 61.9433, 64.8933, USHH, High and Low Level, RS
ABENY, , 54.2517, -113.0767, CZEG, High and Low Level, CA
ABERI, , 87.5, 32.0, ULMM, High and Low Level, RS
ABERO, , 52.2283, 23.2083, EPWW, RNAV, PL
ABERU, , 50.0694, 12.0279, EDIC, RNAV, GM
ABESA, , 54.925, 77.6283, UNOO, High and Low Level, RS
ABESI, , 46.1597, 9.0428, LSAZ, RNAV, SZ
ABETI, , 47.6777, 17.0128, LHCC, RNAV, HU
ABETO, , 40.4297, -8.0564, LPPC, RNAV, PO
ABETS, , 35.9883, 144.3047, RJTG, High and Low Level, JA
ABEVI, , 53.0, 33.8917, UUUU, High and Low Level, RS
