# code,name,lat,lon,apt,type,country code
TAU14, , 50.1006, 8.3443, EDDF, Terminal, GM
TAU15, , 49.994, 8.1764, EDDF, Terminal, GM
TAU16, , 49.984, 8.1769, EDDF, Terminal, GM
TAU99, , 49.9757, 8.1774, EDDF, Terminal, GM
TAURA, , 35.3217, 139.7268, RJTT, Terminal, JA
TAVAK, , -15.0, -149.9667, NTTT, High and Low Level, FP
TAVAS, , -21.03, 20.9995, FBGR, High and Low Level, BC
TAVAS, , 37.5886, 29.2436, LTAA, High and Low Level, TU
TAVER, , -15.0, 172.2867, NFFN, High and Low Level, FJ
TAVEV, , -24.26, 143.4425, YBBB, High and Low Level, AS
TAVIL, , 18.1456, -1.4289, DRRR, High Level, ML
TAVKO, , 21.2553, 59.5297, OOMM, RNAV, MU
TAVLA, , -22.6233, 28.2933, FAJS, High and Low Level, SF
TAVLI, , 15.5839, 49.575, OYSC, High and Low Level, YM
TAVNI, , 21.4416, 39.2533, OEJN, Terminal, SA
TAVNO, , 28.1831, 56.5547, OIIX, High and Low Level, IR
TAVOT, , 13.0831, -2.6692, DRRR, High Level, UV
TAVRI, , 76.945, -130.0, CZEG, High Level, CA
TAVRU, , 45.9747, 28.8634, UKOV, High and Low Level, UP
TAVSA, , 41.975, 41.1667, UGGG, High and Low Level, GG
TAVUN, , 10.0, 96.5533, VYVY, RNAV, BM
TAVUS, , 39.8697, 41.7364, LTBB, High and Low Level, TU
TAWNY, , 37.3625, 126.3033, RKSI, Terminal, KS
TAXON, , 30.0038, 137.2388, RJTG, High and Low Level, JA
TAXOP, , 25.5831, 86.5539, VEVE, High and Low Level, IN
TAXUL, , 3.8433, 103.6767, WMFC, RNAV, MY
TAXUN, , 21.3178, 70.2619, VAVA, High and Low Level, IN
TAYDE, , 8.6975, 167.6669, PKWA, Terminal, RM
TAYLO, , -24.7985, -53.9117, SBCW, RNAV, BR
TAYTA, , 71.5617, -141.0, CZEG, RNAV, CA
TAZ, , 13.6971, 44.1383, OYSC, High and Low Level, YM
TAZ, , 42.282, 18.8004, LYBA, High and Low Level, MJ
TAZIT, , 25.9396, 11.9051, HLLL, High and Low Level, LY
TAZWA, , 40.6898, 141.5113, RJSM, Terminal, JA
TB, , -23.3671, -149.5249, NTAT, High and Low Level, FP
TB, , -5.0689, 32.8341, HTDC, Low Level, TZ
TB, , -2.8823, 10.9529, FCCC, High and Low Level, GB
TB, , 16.7304, -2.9976, DRRR, High Level, ML
TBA, , 29.6067, 34.7483, HEKB, High and Low Level, EG
TBC, , 38.8916, -6.8187, LECM, Terminal, SP
TBD, , -35.2433, 139.5103, YMMM, High and Low Level, AS
TBE, , 43.8849, 144.1662, RJTG, High and Low Level, JA
TBE01, , 43.4552, 143.8137, RJTG, High and Low Level, JA
TBE02, , 43.7183, 144.1746, RJTG, High and Low Level, JA
TBE03, , 44.2176, 143.6486, RJTG, High and Low Level, JA
TBE10, , 43.8068, 144.3696, RJTG, High and Low Level, JA
TBE20, , 43.8255, 143.7129, RJTG, High and Low Level, JA
TBG, , 8.7876, -79.562, MPZL, High and Low Level, PM
TBG80, , 8.8983, -79.4862, MPTO, Terminal, PM
TBG85, , 8.9118, -79.492, MPTO, Terminal, PM
TBK, , 28.3673, 36.607, OEJD, High and Low Level, SA
TBK, , 36.9782, 8.8836, DTTC, High and Low Level, TS
TBK01, , 28.2666, 36.7578, OETB, Terminal, SA
TBK06, , 28.4382, 36.5267, OETB, Terminal, SA
TBK11, , 28.439, 36.7985, OETB, Terminal, SA
TBK12, , 28.4551, 36.811, OETB, Terminal, SA
TBK15, , 28.4651, 36.8683, OETB, Terminal, SA
TBK16, , 28.3862, 36.5856, OETB, Terminal, SA
TBK17, , 28.3502, 36.6326, OETB, Terminal, SA
TBK18, , 28.1168, 36.5922, OETB, Terminal, SA
TBK25, , 28.2767, 36.7427, OETB, Terminal, SA
TBK32, , 28.3882, 36.6627, OETB, Terminal, SA
TBK33, , 28.5091, 36.4463, OETB, Terminal, SA
TBK34, , 28.5611, 36.5481, OETB, Terminal, SA
TBK45, , 28.4699, 36.7315, OETB, Terminal, SA
TBK51, , 28.2162, 36.8331, OETB, Terminal, SA
TBK62, , 28.4332, 36.76, OETB, Terminal, SA
TBK90, , 28.217, 36.5981, OETB, Terminal, SA
TBK95, , 28.4796, 36.4798, OETB, Terminal, SA
TBK99, , 28.5382, 36.8147, OETB, Terminal, SA
TBN, , -32.9183, -70.8372, SCEZ, High and Low Level, CI
TBN, , 40.9953, 39.7956, LTAA, High and Low Level, TU
TBN04, , 41.0148, 39.7113, LTCG, Terminal, TU
TBN07, , 41.0293, 39.648, LTCG, Terminal, TU
TBN09, , 41.039, 39.6059, LTCG, Terminal, TU
TBN11, , 41.0487, 39.5637, LTCG, Terminal, TU
TBN12, , 41.0557, 39.5667, LTCG, Terminal, TU
TBN30, , 41.0813, 39.633, LTCG, Terminal, TU
TBN40, , 41.0173, 39.7124, LTCG, Terminal, TU
TBN70, , 41.0338, 39.65, LTCG, Terminal, TU
TBN89, , 41.0725, 39.6254, LTCG, Terminal, TU
TBN90, , 41.0555, 39.6012, LTCG, Terminal, TU
TBN91, , 41.0523, 39.6114, LTCG, Terminal, TU
TBN92, , 41.0262, 39.6932, LTCG, Terminal, TU
TBN93, , 41.0027, 39.7661, LTCG, Terminal, TU
TBN99, , 41.0448, 39.6083, LTCG, Terminal, TU
TBNNB, , 40.9953, 39.7956, LTCG, Terminal, TU
TBO, , 43.3322, 0.1457, LFBB, RNAV, FR
TBOLI, , 6.136, 124.879, RPHI, High and Low Level, RP
TBS, , 33.664, 56.8996, OIIX, High and Low Level, IR
TBS, , 35.4567, 8.0686, DAAA, High and Low Level, AG
TBS, , 41.6506, 44.9744, UGGG, High and Low Level, GG
TBS01, , 41.7895, 44.782, UGTB, Terminal, GG
TBS02, , 41.5592, 44.8925, UGTB, Terminal, GG
TBT, , -4.2492, -69.9361, SBAZ, Low Level, BR
TBU, , -21.2456, -175.1472, NZFF, High and Low Level, TN
TBV, , 49.7958, 16.6789, LKAA, RNAV, EZ
TBZ, , 38.1391, 46.2309, OIIX, High and Low Level, IR
TC006, , 69.5785, 18.8381, ENTC, Terminal, NO
TC017, , 69.6476, 18.8895, ENTC, Terminal, NO
TCA, , -18.0579, -70.2763, SPIM, High and Low Level, PE
TCANA, , -12.1632, 130.9011, YPDN, Terminal, AS
TCANB, , -12.6642, 130.8654, YPDN, Terminal, AS
TCANC, , -12.3529, 130.6354, YPDN, Terminal, AS
TCANF, , -12.5198, 131.1149, YPDN, Terminal, AS
TCO, , -38.7664, -72.6308, SCEZ, High and Low Level, CI
TCO, , 1.8147, -78.748, SKED, High and Low Level, CO
TCONB, , -38.7667, -72.6147, SCFZ, Low Level, CI
TCY, , 52.1614, -106.5744, CYXE, Terminal, CA
TD, , 10.8581, 106.7511, VVTS, Terminal, VM
TD, , 13.7277, -13.664, GOOO, High and Low Level, SG
TD, , 18.4578, 94.2984, VYVY, High and Low Level, BM
TD, , 22.2479, 114.2931, VHHH, Terminal, HK
TD, , 37.6633, 67.54, UTST, Terminal, UZ
TD, , 45.8833, 134.8833, UHWW, High and Low Level, RS
TD, , 54.5603, -1.3334, EGNV, Terminal, UK
TD008, , 22.3745, 114.2463, VHHH, Terminal, HK
TD018, , 22.3891, 114.0071, VHHH, Terminal, HK
TDL, , -14.5247, 132.3717, YBTN, Terminal, AS
TDL01, , -14.5107, 132.3623, YPTN, Terminal, AS
TDL04, , -14.4685, 132.3342, YPTN, Terminal, AS
TDL06, , -14.4404, 132.3155, YPTN, Terminal, AS
TDL07, , -14.4123, 132.2968, YPTN, Terminal, AS
TDL10, , -14.5355, 132.3848, YPTN, Terminal, AS
TDL15, , -14.314, 132.2313, YPTN, Terminal, AS
TDL26, , -14.6861, 132.5694, YPTN, Terminal, AS
TDL28, , -14.4841, 132.2049, YPTN, Terminal, AS
TDL30, , -14.4239, 132.2344, YPTN, Terminal, AS
TDL40, , -14.5678, 132.4244, YPTN, Terminal, AS
TDL46, , -14.4627, 132.3246, YPTN, Terminal, AS
TDL60, , -14.5893, 132.4507, YPTN, Terminal, AS
TDL61, , -14.6108, 132.4771, YPTN, Terminal, AS
TDL80, , -14.4923, 132.2382, YPTN, Terminal, AS
TDL94, , -14.3983, 132.2589, YPTN, Terminal, AS
TDM, , -9.295, 32.7517, FLFI, High and Low Level, ZA
TE, , -18.9534, 48.2255, FMMM, High and Low Level, MA
TE, , 52.15, 38.2667, UUWV, High and Low Level, RS
TEA, , 41.2968, 13.9707, LIRR, RNAV, IT
TEA15, , 41.1601, 14.2485, LIRN, Terminal, IT
TEA22, , 41.0193, 14.2887, LIRN, Terminal, IT
TEA24, , 41.0778, 14.4146, LIRN, Terminal, IT
TEA25, , 41.0686, 14.433, LIRN, Terminal, IT
TEA26, , 41.0595, 14.4514, LIRN, Terminal, IT
TEA29, , 40.8072, 13.903, LIRN, Terminal, IT
TEA60, , 41.1077, 14.1878, LIRN, Terminal, IT
TEA72, , 41.1711, 14.5439, LIRN, Terminal, IT
TEAK, , 15.2728, 100.1093, VTPI, Terminal, TH
TEAKY, , 15.2745, 100.0577, VTPI, Terminal, TH
TEALS, , 55.6487, -66.9993, CZUL, High Level, CA
TEANO, , -17.2989, -150.1542, NTAA, High and Low Level, FP
TEB, , 59.5317, 18.2033, ESOS, RNAV, SW
TEB12, , 51.7645, 6.8329, EHRD, Terminal, GM
TEB13, , 59.5967, 18.627, ESSB, Terminal, SW
TEB19, , 59.4354, 17.5943, ESSB, Terminal, SW
TEB36, , 59.2106, 17.2128, ESSB, Terminal, SW
TEB50, , 59.2114, 16.6992, ESSB, Terminal, SW
TEB71, , 59.5884, 18.5975, ESSB, Terminal, SW
TEB92, , 59.1972, 17.2312, ESSB, Terminal, SW
TEBAK, , 22.175, 106.675, VVGL, High and Low Level, VM
TEBAM, , 12.9661, 78.4642, VOMF, High and Low Level, IN
TEBEK, , 25.1586, 126.8256, RODN, Terminal, JA
TEBEN, , -4.7919, 21.6953, FZZA, High and Low Level, CG
TEBGI, , 59.0783, 76.7567, UNOO, High and Low Level, RS
TEBID, , 24.6839, 88.0306, VGFR, High and Low Level, BG
TEBIT, , 6.12, 84.0, VCCC, RNAV, CE
TEBLA, , 41.3811, 2.325, LEBL, Terminal, SP
TEBLI, , 45.2014, 16.6758, LDZO, High and Low Level, HR
TEBOV, , 20.4176, 91.9969, VYYF, RNAV, BM
TEBRA, , 51.4889, 1.6119, EGTT, High and Low Level, UK
TEBRO, , 51.8942, 6.5878, EDLL, RNAV, GM
TEBUN, , 30.66, 104.9483, ZPKM, High and Low Level, CH
TEBUR, , -23.4744, 163.0, YBBB, High and Low Level, AS
TEBUS, , 47.4183, 90.4617, ZWUQ, High and Low Level, CH
TECUN, , 14.6633, -92.145, MHTG, High and Low Level, GT
TECUP, , 21.062, -86.6855, MMUN, Terminal, MX
TEDAG, , -5.0, -148.39, NTTT, High and Low Level, FP
TEDAN, , 35.1289, 127.3144, RKTT, High and Low Level, KS
TEDAR, , -35.4494, -57.7172, SAEF, Low Level, AR
TEDAS, , -23.8786, -54.5756, SBCW, High Level, BR
TEDDY, , 13.7339, -60.5489, TTZP, Low Level, BB
TEDMA, , 54.9317, 61.8867, USCC, High and Low Level, RS
TEDOG, , -1.5031, -70.5936, SKED, Low Level, CO
TEDON, , 7.0208, -75.5644, SKED, Low Level, CO
TEDRA, , 45.0761, 26.4543, LRBB, Low Level, RO
TEDRI, , 43.5053, -5.2269, LECM, RNAV, SP
TEDRO, , 54.29, 27.865, UMMM, RNAV, BO
TEDSA, , 52.0508, 1.1275, EGTT, High and Low Level, UK
TEE, , -3.7183, 147.585, AYPY, High and Low Level, PP
TEEJA, , 35.7242, 139.355, RJTY, Terminal, JA
TEENA, , 37.116, 127.3408, RKSO, Terminal, KS
TEF, , -21.7114, 122.2133, YMMM, High and Low Level, AS
TEFFO, , 62.8002, -66.9994, CZUL, High Level, CA
TEFLY, , 45.4133, -75.445, CZUL, Terminal, CA
TEGAD, , 47.6653, 10.9181, EDMM, RNAV, GM
TEGAK, , 24.1783, 89.8347, VGFR, High and Low Level, BG
TEGBA, , 48.5753, 11.35, EDMM, RNAV, GM
TEGBI, , 33.1294, 10.5828, DTDT, Low Level, TS
TEGER, , 10.1564, -71.3237, SVZM, High and Low Level, VE
TEGER, , 15.1632, 102.628, VTUN, Terminal, TH
TEGID, , 8.9483, 115.8617, RPHI, RNAV, RP
TEGMO, , 61.0717, 100.7917, UNIW, High and Low Level, RS
TEGOD, , 21.0048, 145.1968, RJTG, High and Low Level, JA
TEGOL, , -25.2208, -64.5578, SACF, Low Level, AR
TEGOR, , 18.5843, 62.5007, VABF, RNAV, IN
TEGRA, , 61.1067, 37.13, ULWW, High and Low Level, RS
TEGRI, , 46.2628, 21.1045, LRBB, RNAV, RO
TEH, , 4.6289, -74.1481, SKED, High and Low Level, CO
TEILA, , 20.8714, -103.6939, MMGL, Terminal, MX
TEITI, , 30.1621, -106.6254, MMTY, High Level, MX
TEJAR, , -0.8997, -78.5356, SEGU, Low Level, EC
TEK, , -5.2617, 142.6667, AYWK, High and Low Level, PP
TEKAN, , -12.0, 150.725, YBBB, High and Low Level, AS
TEKDO, , 38.3383, 30.1569, LTAA, RNAV, TU
TEKEP, , -30.49, 163.0, YBBB, High and Low Level, AS
TEKKO, , 42.502, 141.0753, RJTG, High and Low Level, JA
TEKNA, , 30.0392, -9.7383, GMMM, Low Level, MO
TEKNO, , 47.6238, 17.4089, LHCC, RNAV, HU
TEKOL, , 16.0, -69.115, TNCF, High Level, NT
TEKOR, , 45.0767, 99.2755, ZMUB, High and Low Level, MG
TEKOR, , 60.0167, 130.3333, UEEE, High and Low Level, RS
TEKOT, , -18.805, -151.2392, NTTT, High and Low Level, FP
TEKOT, , 44.4925, 6.3419, LFMN, Terminal, FR
TEKRA, , 38.1808, 12.6986, LICJ, Terminal, IT
TEKSA, , 56.7917, 22.0, EVRR, RNAV, LG
TEKSI, , 48.6906, 10.0681, EDMM, RNAV, GM
TEKTI, , 4.0, 18.7367, FZZA, High Level, CG
TEKTO, , 7.8167, -11.8998, GLRB, High and Low Level, SL
TEKTU, , 50.3428, 9.1364, EDUU, RNAV, GM
TEKUK, , 42.6833, 135.4567, UHWW, High and Low Level, RS
TEKUP, , -38.2567, 130.0, YMMM, RNAV, AS
TEKVO, , 57.0, 7.34, EKOS, High and Low Level, DA
TELAK, , -34.3428, -55.6606, SUEO, High and Low Level, UY
TELAX, , 14.8942, -82.2789, MHTG, RNAV, HO
TELBA, , 52.6644, -2.3186, EGTT, High and Low Level, UK
TELCO, , 19.3561, -99.7306, MMEX, Terminal, MX
TELDO, , 53.3319, 13.5719, EDBB, RNAV, GM
TELDO, , 63.9825, -21.4789, BIKF, Terminal, IC
TELEM, , 24.1172, 68.7667, OPKR, High and Low Level, PK
TELEN, , 12.8883, 120.7138, RPRP, High and Low Level, RP
TELES, , -0.9067, 126.565, WAAZ, High and Low Level, ID
TELEX, , -20.4228, -44.6502, SBBS, Low Level, BR
TELGA, , 36.6461, 8.9269, DTDT, Low Level, TS
TELGO, , 68.4867, 67.8533, ULYW, High and Low Level, RS
TELIN, , 48.2447, -4.1997, LFRB, Terminal, FR
TELIR, , -11.293, -61.4225, SBAZ, RNAV, BR
TELMA, , -12.8637, -46.5302, SBRE, RNAV, BR
TELMI, , 37.6167, 61.6333, UTAA, High and Low Level, TX
TELMO, , 9.9692, 118.8595, RPHI, High and Low Level, RP
TELMO, , 55.0546, 14.1163, ESMM, RNAV, SW
TELMU, , 35.6378, -14.5306, LPPC, RNAV, PO
TELNO, , 46.7719, 7.2708, LSAG, High and Low Level, SZ
TELOK, , 49.6267, 117.3783, UIAA, High and Low Level, RS
TELOS, , -9.2585, -56.3842, SBAZ, Low Level, BR
TELRI, , 35.0303, 28.1786, LGGG, High and Low Level, GR
TELSI, , 46.4277, 14.2957, LJVV, High and Low Level, SI
TELTU, , 52.5044, 14.2753, EDBB, RNAV, GM
TELVI, , 52.0889, 1.895, EGTT, High and Low Level, UK
TELVO, , 39.3722, 32.9222, LTAC, High and Low Level, TU
TEMAR, , 33.3388, 140.1063, RJTG, High and Low Level, JA
TEMAX, , 6.88, 81.0, VCCC, RNAV, CE
TEMBE, , 66.4067, 95.1917, UOTT, High and Low Level, RS
TEMBI, , 5.4839, -1.7011, DGAC, High and Low Level, GH
TEMEL, , 41.0572, 39.1372, LTAG, High and Low Level, TU
TEMGA, , 69.8833, 126.4333, UEST, High and Low Level, RS
TEMIR, , 39.9469, -2.504, LECM, High and Low Level, SP
TEMKI, , -0.1572, 9.0661, FCCC, High and Low Level, GB
TEMLI, , 49.1436, 15.0186, LKAA, RNAV, EZ
TEMLU, , 53.4744, 6.8636, EHAA, High and Low Level, NL
TEMON, , 1.9796, 127.5443, WAAZ, High and Low Level, ID
TEMOS, , -6.7039, -78.8981, SPIM, Low Level, PE
TEMOT, , 61.3717, 96.6817, USRR, High and Low Level, RS
TEMRA, , 46.9083, 140.0, UHSS, High and Low Level, RS
TEN, , -42.9247, -72.7153, SCTZ, Low Level, CI
TENAS, , 37.6394, 131.575, RKTT, High and Low Level, KS
TENCH, , -14.8964, 148.0617, YBBB, High and Low Level, AS
TENDO, , 54.0289, 0.2464, EGTT, High Level, UK
TENDU, , 37.4175, -6.1176, LECM, Terminal, SP
TENGA, , 38.7717, 60.9367, UTAV, High and Low Level, TX
TENGU, , 33.5094, 131.1459, RJFZ, Terminal, JA
TENIL, , -35.5411, -57.8339, SAEU, High and Low Level, AR
TENKO, , 30.7233, -18.8883, LPPC, RNAV, PO
TENKU, , 68.2183, 27.2328, EFPS, RNAV, FI
TENLI, , 52.2464, 6.2503, EHAA, High and Low Level, NL
TENLO, , 49.5261, 11.0444, EDMM, RNAV, GM
TENON, , 9.2745, 116.307, RPHI, RNAV, RP
TENOR, , -2.4167, -151.95, NTTT, High and Low Level, FP
TENPA, , 21.3617, -21.9733, GCCC, RNAV, SP
TENRI, , 34.628, 135.8641, RJOO, Terminal, JA
TENRU, , 35.6696, 138.0069, RJTG, High and Low Level, JA
TENSI, , 57.0631, 22.3056, EVRR, RNAV, LG
TENSO, , 32.2985, 132.8053, RJFN, Terminal, JA
TENSU, , 36.9539, 36.4553, LTAF, Terminal, TU
TENTU, , 9.0669, 2.9325, DNKK, High and Low Level, NI
TENYA, , 49.84, -118.74, CZVR, Low Level, CA
TENZN, , 24.8196, 141.4773, RJAW, Terminal, JA
TEPAL, , 23.8117, 86.4342, VECF, High and Low Level, IN
TEPAM, , -21.6033, 164.1033, NWWW, High and Low Level, NC
TEPAN, , -14.1361, 70.0, FIMM, High and Low Level, MP
TEPAR, , -17.1057, -66.6943, SLLF, Low Level, BL
TEPEK, , -18.7217, 176.0533, NFFF, High and Low Level, FJ
TEPEM, , -2.5618, -59.6552, SBAZ, RNAV, BR
TEPES, , 5.5733, -73.6086, SKED, Low Level, CO
TEPID, , 23.535, 113.385, ZSAM, High and Low Level, CH
TEPIM, , -2.6845, -57.0342, SBAZ, High Level, BR
TEPKI, , 41.4533, 32.9928, LTBB, High and Low Level, TU
TEPLA, , 46.33, 75.71, UAAH, High and Low Level, KZ
TEPNA, , 49.5047, 22.6561, EPWW, High Level, PL
TEPNB, , -41.4378, -73.0872, SCTZ, Low Level, CI
TEPNI, , 48.6962, 19.8525, LZCC, High Level, LO
TEPOD, , 47.8, 122.7717, ZYSH, High and Low Level, CH
TEPOR, , -15.0, 177.98, NFFN, High and Low Level, FJ
TEPRA, , 46.4958, -2.4244, LFFF, RNAV, FR
TEPRI, , 48.5522, 2.75, LFFF, RNAV, FR
TEPUS, , 4.1703, 100.7592, WMFM, High and Low Level, MY
TEQ, , 18.6761, -99.2553, MMEX, High and Low Level, MX
TERAD, , 37.5972, 138.4993, RJTG, High and Low Level, JA
TERAN, , -25.8929, -175.0, NZZO, High and Low Level, NZ
TERAS, , -2.0, -75.9333, SEGU, High and Low Level, EC
TERAS, , 20.7183, 1.7817, DADA, High and Low Level, AG
TERAS, , 32.9892, 129.623, RJFU, Terminal, JA
TERBA, , -4.7968, 6.5826, DGAC, High Level, GH
TERBO, , 50.9167, 138.2, UHKK, High and Low Level, RS
TERCO, , 36.9036, 127.1138, RKSG, Terminal, KS
TERDA, , 52.8083, 13.9278, EDDI, Terminal, GM
TERDI, , 54.2467, 46.86, UWPP, High and Low Level, RS
TEREB, , -9.9505, -49.5038, SBAZ, RNAV, BR
TERES, , -12.4757, -51.3682, SBBS, RNAV, BR
TEREX, , -32.4342, -63.2281, SACU, High Level, AR
TEREZ, , 41.3333, 9.0367, LFMM, High and Low Level, FR
TERIX, , 4.2558, 109.5822, WSJC, RNAV, SN
TERKA, , -4.234, 104.9603, WIIZ, High and Low Level, ID
TERKO, , 51.6256, 0.7467, EGTT, Low Level, UK
TERKU, , 48.03, -3.6167, LFRR, RNAV, FR
TERLA, , 50.6825, 5.6654, EBUR, RNAV, BE
TERME, , 41.2144, 37.2247, LTAA, High and Low Level, TU
TERNI, , 42.37, 131.6667, UHWW, High and Low Level, RS
TERNO, , 49.5247, 25.6982, UKLV, Low Level, UP
TEROI, , -25.501, -55.0475, SGES, Terminal, PA
TERPI, , 48.1331, 33.5483, UKBV, High and Low Level, UP
TERPO, , 47.3489, -1.9289, LFRR, RNAV, FR
TERPS, , 24.0627, 47.7822, OEPS, Terminal, SA
TERRA, , -16.543, -48.0343, SBBR, Terminal, BR
TERRI, , 23.886, 47.5951, OEPS, Terminal, SA
TERSA, , 21.1572, -77.2581, MUFH, High and Low Level, CU
TERSA, , 40.725, -2.1378, LECM, High and Low Level, SP
TERSI, , 6.3514, -62.2837, SVZM, Low Level, VE
TERSI, , 45.7869, 7.4597, LIMM, High and Low Level, IT
TERTO, , 30.1042, -12.7172, GCCC, High and Low Level, SP
TERTU, , 64.4342, -21.7286, BIRD, High and Low Level, IC
TERUS, , 2.0264, 103.2192, WMFC, High and Low Level, MY
TERUX, , -25.0, 171.7317, NZZO, High and Low Level, NF
TERVA, , 40.4167, -9.5911, LPPC, RNAV, PO
TES, , 45.5192, 12.3682, LIPZ, Terminal, IT
TES01, , 45.5249, 12.3769, LIPZ, Terminal, IT
TES05, , 45.5762, 12.4548, LIPZ, Terminal, IT
TES07, , 45.599, 12.4895, LIPZ, Terminal, IT
TES08, , 45.5607, 12.5486, LIPZ, Terminal, IT
TES50, , 45.5586, 12.4728, LIPZ, Terminal, IT
TES80, , 45.6104, 12.5068, LIPZ, Terminal, IT
TESAK, , 49.5158, -117.0747, CZVR, Low Level, CA
TESAL, , -10.1612, -52.0342, SBAZ, RNAV, BR
TESAN, , 47.0283, 89.7967, ZWUQ, High and Low Level, CH
TESAR, , -10.0, 178.9383, NFFF, High and Low Level, FJ
TESAT, , -29.1797, 160.7117, YBBB, High and Low Level, AS
TESGA, , 50.445, 8.6189, EDUU, RNAV, GM
TESHM, , 42.8166, 142.1209, RJCJ, Terminal, JA
TESIO, , 44.9067, 141.7823, RJTG, High and Low Level, JA
TESIR, , 7.925, -74.2172, SKED, Low Level, CO
TESIT, , -32.6578, -63.9725, SACU, Low Level, AR
TESKI, , 2.3836, -4.8814, DIII, High Level, LI
TESMI, , 45.1083, 42.1133, URRV, High and Low Level, RS
TESMO, , 6.6229, -0.3293, DGAC, High and Low Level, GH
TESOL, , 17.7603, -79.5, MKJK, High and Low Level, JM
TESOM, , 49.7922, -97.088, CYWG, Terminal, CA
TESON, , 15.3483, 37.1803, HHAA, High Level, ER
TESOT, , 15.1167, 40.2833, HHAA, High and Low Level, ER
TESOX, , 47.6368, -52.4913, CYYT, Terminal, CA
TESPA, , 38.5758, 18.7836, LIMM, High and Low Level, IT
TESPI, , 55.8983, 10.5311, EKDK, RNAV, DA
TESRA, , -21.5956, 165.4944, NWWW, Terminal, NC
TESSI, , -29.4511, 152.3125, YBBB, High and Low Level, AS
TESSO, , 28.4811, 49.4564, OBBB, High and Low Level, BA
TESTO, , 44.5972, 8.6656, LIMM, High and Low Level, IT
TET, , 34.9708, 139.8381, RJTE, Terminal, JA
TET01, , 34.9857, 139.8288, RJTE, Terminal, JA
TET06, , 34.8815, 139.8933, RJTE, Terminal, JA
TET07, , 34.8517, 139.9117, RJTE, Terminal, JA
TET08, , 35.0899, 139.7642, RJTE, Terminal, JA
TET16, , 34.8071, 139.9392, RJTE, Terminal, JA
TET19, , 34.7873, 139.8264, RJTE, Terminal, JA
TETAG, , 54.0715, -114.1326, CZEG, High and Low Level, CA
TETAN, , -33.6633, 19.4161, FACT, RNAV, SF
TETEM, , -14.7172, 34.3445, FWLL, High and Low Level, MI
TETIK, , -26.5706, 29.6404, FAJS, RNAV, SF
TETIV, , 53.2808, -114.0942, CYEG, Terminal, CA
TETKA, , 69.27, 129.19, UEST, High and Low Level, RS
TETKI, , 54.0056, 69.4069, UAUA, High and Low Level, KZ
TETNA, , 49.833, 26.4149, UKLV, High and Low Level, UP
TETOS, , 43.31, -80.655, CZYZ, Low Level, CA
TETOV, , 41.9767, 20.99, LWSS, Low Level, MK
TETRO, , -25.3333, 40.0, FQBE, High Level, MZ
TETRO, , 41.6725, 42.8597, UGGG, High Level, GG
TETUS, , -25.5262, 25.6391, FAJS, RNAV, SF
TEUCO, , -41.3467, -66.5758, SAVF, High and Low Level, AR
TEVAR, , -27.2059, 27.3092, FAJS, RNAV, SF
TEVAS, , -23.255, 34.05, FQBE, High and Low Level, MZ
TEVAS, , -14.3717, 32.0583, FLFI, High and Low Level, ZA
TEVDA, , 38.3728, 35.0667, LTAA, High and Low Level, TU
TEVOG, , 24.1036, 46.0736, OEJD, High and Low Level, SA
TEXAM, , 19.4886, -80.6252, MKJK, Low Level, CJ
TEXAR, , 0.1233, 52.0, FSSS, RNAV, SE
TEXAS, , -23.0935, -46.1718, SBBS, High Level, BR
TEXCA, , 17.405, -99.5731, MMAA, Terminal, MX
TEXEN, , 45.212, -75.465, CYOW, Terminal, CA
TEXOM, , -20.3126, 36.0801, FQBE, High Level, MZ
TEXUN, , 53.0, -61.85, CZQM, RNAV, CA
TFE, , -3.3878, -64.728, SBAZ, High and Low Level, BR
TFE, , 33.4897, 131.7288, RJFO, Terminal, JA
TFE10, , 33.3962, 131.8939, RJFO, Terminal, JA
TFE11, , 33.3017, 131.7763, RJFO, Terminal, JA
TFE12, , 33.311, 131.8372, RJFO, Terminal, JA
TFE25, , 33.4489, 131.7391, RJFO, Terminal, JA
TFE43, , 33.6231, 131.849, RJFO, Terminal, JA
TFE75, , 33.3671, 131.7598, RJFO, Terminal, JA
TFN, , 28.5368, -16.2688, GCXO, High and Low Level, SP
TFR01, , 22.3257, 113.9438, VHHH, Terminal, HK
TFR03, , 22.3038, 113.8759, VHHH, Terminal, HK
TFR04, , 22.3421, 113.9948, VHHH, Terminal, HK
TFR07, , 22.3585, 114.0458, VHHH, Terminal, HK
TFR11, , 22.3803, 114.1137, VHHH, Terminal, HK
TFR14, , 22.386, 114.1334, VHHH, Terminal, HK
TFR75, , 22.3612, 114.0542, VHHH, Terminal, HK
TFS, , 28.0024, -16.6879, GCCC, High and Low Level, SP
TG, , -37.6776, 176.1912, NZZC, High and Low Level, NZ
TGA, , 62.4616, 10.8788, ENTR, RNAV, NO
TGA05, , 62.5417, 10.8, ENTR, RNAV, NO
TGAWA, , 33.5905, 130.7837, RJFZ, Terminal, JA
TGE, , 30.6022, 130.9915, RJTG, High and Low Level, JA
TGL04, , 52.5719, 13.3955, EDDT, Terminal, GM
TGL05, , 52.6172, 13.1859, EDDT, Terminal, GM
TGL08, , 52.5729, 13.5054, EDDT, Terminal, GM
TGL25, , 52.6038, 13.9707, EDDT, Terminal, GM
TGL30, , 52.6158, 13.1499, EDDT, Terminal, GM
